Chunk,Model,Model type,Faces,Faces 98%,Vertices,Vertices 98%,Faces resolution mean (m^2),Faces resolution mean 98% (m^2),Faces resolution median (m^2),Faces resolution median 98% (m^2),Faces max resolution (m^2),Faces min resolution (m^2),Faces resolution range (m^2),Faces max resolution 98% (m^2),Faces min resolution 98% (m^2),Faces resolution range 98% (m^2)
610,610_scene,Mesh,771163,755739,387221,379476,1.0024605674898014e-06,8.538867491564557e-07,5.238574922964952e-07,5.238574922964952e-07,0.00021479212722189163,0.0,0.00021479212722189163,8.302157920471169e-06,8.289300881365967e-08,8.219264911657508e-06
610,610_open,Mesh,47757,46801,24021,23540,9.800172486668545e-07,7.861722782085547e-07,5.153237242553071e-07,5.153237242553071e-07,0.00021479212722189163,0.0,0.00021479212722189163,5.477332657763117e-06,1.0424991899726346e-07,5.3730827387658534e-06
610,610_closed,Mesh,59006,57825,29501,28910,9.550078019472272e-07,7.394153428771212e-07,5.067344488299396e-07,5.067344488299396e-07,0.00021479212722189163,0.0,0.00021479212722189163,4.101688784326638e-06,1.1117873847460193e-07,3.990510045852036e-06
729,729_scene,Mesh,408638,400465,205608,201495,8.470252241581237e-07,6.459356804972417e-07,4.4361443422544754e-07,4.4361443422544754e-07,0.00021479212722189163,0.0,0.00021479212722189163,3.6324274128752557e-06,7.040852282877045e-08,3.5620188900464852e-06
729,729_open,Mesh,64799,63503,32578,31926,8.205537375977551e-07,6.063648962275176e-07,4.2925439174205375e-07,4.2925439174205375e-07,0.00021479212722189163,0.0,0.00021479212722189163,2.997230757351633e-06,7.615680047894796e-08,2.921073956872685e-06
729,729_closed,Mesh,77428,75879,38716,37941,7.925753886451826e-07,5.71325083397608e-07,4.105451999783097e-07,4.105451999783097e-07,0.00021479212722189163,0.0,0.00021479212722189163,2.591467467393486e-06,7.93349503033889e-08,2.5121325170900974e-06
730,730_scene,Mesh,621524,609093,312781,306525,8.674395604848805e-07,6.567410062579231e-07,4.627531925607471e-07,4.627531925607471e-07,0.00021479212722189163,0.0,0.00021479212722189163,3.9512396171328635e-06,8.689951496086363e-08,3.864340102172e-06
730,730_open,Mesh,32859,32201,16591,16259,8.614164220456335e-07,6.326648387857452e-07,4.5977154629609036e-07,4.5977154629609036e-07,0.00021479212722189163,0.0,0.00021479212722189163,2.7692360171038058e-06,9.66056378800697e-08,2.672630379223736e-06
730,730_closed,Mesh,43902,43023,21951,21511,8.530944147962586e-07,6.141417529932845e-07,4.5517203682278567e-07,4.5517203682278567e-07,0.00021479212722189163,0.0,0.00021479212722189163,2.4163048792583693e-06,1.0434972747270732e-07,2.311955151785662e-06
731,731_scene,Mesh,823735,807260,413007,404746,8.896423340228325e-07,6.476453224170985e-07,4.7096623177982806e-07,4.7096623177982806e-07,0.00048100917549287117,0.0,0.00048100917549287117,3.562585664208251e-06,1.0629336296861326e-07,3.456292301239638e-06
