Chunk,Model,Model type,Faces,Faces 98%,Vertices,Vertices 98%,Faces resolution mean (m^2),Faces resolution mean 98% (m^2),Faces resolution median (m^2),Faces resolution median 98% (m^2),Faces max resolution (m^2),Faces min resolution (m^2),Faces resolution range (m^2),Faces max resolution 98% (m^2),Faces min resolution 98% (m^2),Faces resolution range 98% (m^2)
676,676_scene,Mesh,635454,622744,318754,312378,9.21174985282932e-07,7.622430678860096e-07,4.2943493047679034e-07,4.2943493047679034e-07,0.00016283401482518003,2.0402412776060962e-11,0.00016283399442276725,8.693458117249066e-06,5.713840354512757e-08,8.636319713703938e-06
676,676_open,Mesh,30277,29671,15208,14903,9.199075117582895e-07,7.113536730135238e-07,4.3309373441740647e-07,4.3309373441740647e-07,0.00016283401482518003,2.0402412776060962e-11,0.00016283399442276725,5.79757343625623e-06,7.337741054518241e-08,5.724196025711047e-06
676,676_closed,Mesh,32484,31834,16244,15919,9.179545217565503e-07,6.781971698853874e-07,4.374890750506838e-07,4.374890750506838e-07,0.00016283401482518003,2.0402412776060962e-11,0.00016283399442276725,4.6796681148076235e-06,7.88890222242676e-08,4.600779092583356e-06
678,678_scene,Mesh,679213,665628,340781,333965,8.330780122225987e-07,6.484471485629985e-07,4.2986198431485417e-07,4.2986198431485417e-07,0.00016283401482518003,2.0402412776060962e-11,0.00016283399442276725,4.2279532489056856e-06,8.019398267046121e-08,4.147759266235224e-06
678,678_open,Mesh,19991,19591,10065,9863,8.328508183325296e-07,6.248586996258123e-07,4.3098876207481925e-07,4.3098876207481925e-07,0.00016283401482518003,2.0402412776060962e-11,0.00016283399442276725,3.2701451819790563e-06,8.824717544010546e-08,3.1818980065389507e-06
678,678_closed,Mesh,22656,22202,11330,11103,8.325565246585817e-07,6.081071703703267e-07,4.327230523449994e-07,4.327230523449994e-07,0.00016283401482518003,2.0402412776060962e-11,0.00016283399442276725,2.77889952831873e-06,9.424564214988916e-08,2.684653886168841e-06
680,890_scene,Mesh,819658,803264,411086,402864,7.329244017859462e-07,5.512121971379705e-07,3.8567173652953454e-07,3.8567173652953454e-07,0.00016283401482518003,2.0402412776060962e-11,0.00016283399442276725,2.7140635959722407e-06,7.446777512171114e-08,2.6395958208505297e-06
680,890_open,Mesh,34764,34068,17459,17109,7.278531627575836e-07,5.330252598085857e-07,3.832688358216508e-07,3.832688358216508e-07,0.00016283401482518003,2.0402412776060962e-11,0.00016283399442276725,2.3585774038470177e-06,8.363173614096594e-08,2.2749456677060517e-06
680,890_closed,Mesh,37468,36718,18736,18361,7.225579996209669e-07,5.175183847725437e-07,3.8105126783618524e-07,3.8105126783618524e-07,0.00016283401482518003,2.0402412776060962e-11,0.00016283399442276725,2.106049241979157e-06,9.128096712572872e-08,2.014768274853428e-06
878,878_scene,Mesh,721716,707281,361667,354433,7.12514686898021e-07,5.126830827530712e-07,3.73493971768339e-07,3.73493971768339e-07,0.0002162961748688205,1.294977391874086e-11,0.00021629616191904657,2.3883865820102653e-06,7.321814578495835e-08,2.315168436225307e-06
878,878_open,Mesh,103631,101558,52163,51119,7.014942868983356e-07,4.951199580933071e-07,3.678892051348751e-07,3.678892051348751e-07,0.0002162961748688205,1.294977391874086e-11,0.00021629616191904657,1.9555391093558763e-06,8.62759388428847e-08,1.8692631705129916e-06
878,878_closed,Mesh,143018,140157,71507,70076,6.856426332873405e-07,4.7626457154277587e-07,3.5864513751001716e-07,3.5864513751001716e-07,0.0002162961748688205,1.294977391874086e-11,0.00021629616191904657,1.799132198388154e-06,9.242505312052089e-08,1.7067071452676333e-06
885,885_scene,Mesh,770856,755438,386397,378669,6.807464904400225e-07,4.774086032551487e-07,3.5834426410917844e-07,3.5834426410917844e-07,0.0002162961748688205,1.294977391874086e-11,0.00021629616191904657,1.9778950635916594e-06,9.091894790872573e-08,1.8869761156829336e-06
885,885_open,Mesh,63244,61979,31758,31122,6.762476385625684e-07,4.6609912108469775e-07,3.5622108037249496e-07,3.5622108037249496e-07,0.0002162961748688205,1.294977391874086e-11,0.00021629616191904657,1.6935426006623204e-06,9.598801023055238e-08,1.597554590431768e-06
885,885_closed,Mesh,71166,69742,35583,34871,6.712204527118155e-07,4.5571529810536253e-07,3.538569464834587e-07,3.538569464834587e-07,0.0002162961748688205,1.294977391874086e-11,0.00021629616191904657,1.585194808043913e-06,9.914662282285655e-08,1.4860481852210566e-06
886,886_scene,Mesh,870089,852687,436019,427298,6.839566848134831e-07,4.723170087485907e-07,3.624161909732737e-07,3.624161909732737e-07,0.0003405163692469377,1.294977391874086e-11,0.0003405163562971638,2.2489419898264775e-06,1.0104261959102172e-07,2.147899370235456e-06
886,886_open,Mesh,63411,62142,31867,31229,6.830300831375513e-07,4.626353271341604e-07,3.6204599911852355e-07,3.6204599911852355e-07,0.0003405163692469377,1.294977391874086e-11,0.0003405163562971638,1.5803012875877217e-06,1.0469127755061721e-07,1.4756100100371045e-06
886,886_closed,Mesh,72380,70932,36192,35468,6.821928884056597e-07,4.5620685874108375e-07,3.6221831952222605e-07,3.6221831952222605e-07,0.0003405163692469377,1.294977391874086e-11,0.0003405163562971638,1.4983865462464203e-06,1.0816594434414247e-07,1.3902206019022778e-06
887,887_scene,Mesh,773102,757639,387576,379824,6.950238649511709e-07,4.644952900657942e-07,3.6608392795008166e-07,3.6608392795008166e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.9346961232274803e-06,1.0399084579766305e-07,1.8307052774298172e-06
887,887_open,Mesh,44678,43784,22426,21977,6.933009404324289e-07,4.560722999759325e-07,3.654844804776743e-07,3.654844804776743e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.466475156127122e-06,1.111466267549599e-07,1.3553285293721621e-06
887,887_closed,Mesh,48826,47849,24413,23924,6.917722407598157e-07,4.495931253818949e-07,3.651287481995789e-07,3.651287481995789e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.3937300088077502e-06,1.1458458177908945e-07,1.2791454270286607e-06
891,891_scene,Mesh,734315,719628,368496,361126,6.791693709744047e-07,4.4874787788283064e-07,3.6451781636046334e-07,3.6451781636046334e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.3928179851291134e-06,1.0456360717225944e-07,1.288254377956854e-06
891,891_open,Mesh,40765,39949,20463,20053,6.775847917167048e-07,4.422969172089254e-07,3.637952866683437e-07,3.637952866683437e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.3253910899801224e-06,1.1692738019978863e-07,1.2084637097803337e-06
891,891_closed,Mesh,44600,43708,22300,21854,6.758350916055069e-07,4.362756183018487e-07,3.630402123044166e-07,3.630402123044166e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.2650728483547202e-06,1.2023059778198059e-07,1.1448422505727395e-06
894,894_scene,Mesh,692320,678473,347308,340361,6.649574292230711e-07,4.3093664132373505e-07,3.5786944119129736e-07,3.5786944119129736e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.2556257743320107e-06,9.627711233659813e-08,1.1593486619954124e-06
894,894_open,Mesh,44503,43612,22418,21969,6.641031214850297e-07,4.261078632020981e-07,3.575474961644084e-07,3.575474961644084e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.2011221832551038e-06,1.2139766625022287e-07,1.079724517004881e-06
894,894_closed,Mesh,55090,53988,27545,26994,6.629267227891524e-07,4.2161867401771653e-07,3.572091176871781e-07,3.572091176871781e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.1501471985536355e-06,1.246465270434661e-07,1.0255006715101694e-06
897,897_scene,Mesh,681833,668196,342257,335411,6.887880950834687e-07,4.4360924215875345e-07,3.6824466472905703e-07,3.6824466472905703e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,2.0738530292405124e-06,1.268836650749856e-07,1.9469693641655267e-06
897,897_open,Mesh,44397,43509,22375,21927,6.912310132587908e-07,4.367725312967042e-07,3.692573893360401e-07,3.692573893360401e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.3629682906718742e-06,1.3060805293316694e-07,1.2323602377387073e-06
897,897_closed,Mesh,52732,51677,26364,25836,6.936496738905714e-07,4.3418813104562087e-07,3.7038308485681795e-07,3.7038308485681795e-07,0.0004723435853072837,1.294977391874086e-11,0.0004723435723575098,1.1353296224022924e-06,1.342714820180119e-07,1.0010581403842804e-06
