Chunk,Model,Model type,Faces,Faces 98%,Vertices,Vertices 98%,Faces resolution mean (m^2),Faces resolution mean 98% (m^2),Faces resolution median (m^2),Faces resolution median 98% (m^2),Faces max resolution (m^2),Faces min resolution (m^2),Faces resolution range (m^2),Faces max resolution 98% (m^2),Faces min resolution 98% (m^2),Faces resolution range 98% (m^2)
792,792_closed,Mesh,43834,42957,21917,21478,8.467249349574243e-07,4.5298529776649067e-07,3.7953965100642737e-07,3.7953965100642737e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.3270178316788884e-06,9.678181217247467e-08,1.2302360195064137e-06
794,794_scene,Mesh,703030,688969,352695,345641,8.581520223811344e-07,4.7221842443472063e-07,3.9224580342599055e-07,3.9224580342599055e-07,0.0008158987042130106,0.0,0.0008158987042130106,2.0581032913791146e-06,1.0099486702896558e-07,1.957108424350149e-06
794,794_open,Mesh,18742,18367,9478,9288,8.577847746189707e-07,4.646707862501783e-07,3.9255813508143684e-07,3.9255813508143684e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.322458484012335e-06,1.0550876697321242e-07,1.2169497170391225e-06
794,794_closed,Mesh,24850,24353,12427,12178,8.571696675514915e-07,4.603088594939654e-07,3.9298363199587903e-07,3.9298363199587903e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.2650119910842846e-06,1.098434499119552e-07,1.1551685411723294e-06
795,795_scene,Mesh,796704,780769,399820,391823,8.386311230080517e-07,4.575856109378894e-07,3.874005167953996e-07,3.874005167953996e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.3576673548751012e-06,9.946319174696624e-08,1.258204163128135e-06
795,795_open,Mesh,10955,10735,5585,5473,8.380567736029444e-07,4.528549901320989e-07,3.8717937632469453e-07,3.8717937632469453e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.2191646272481915e-06,1.1310535442561862e-07,1.106059272822573e-06
795,795_closed,Mesh,15926,15607,7965,7805,8.371649211509446e-07,4.4838646860078745e-07,3.867701447274313e-07,3.867701447274313e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.1716059898052155e-06,1.1720871319941086e-07,1.0543972766058046e-06
800,880_scene,Mesh,717609,703256,360384,353176,8.680888579948921e-07,4.797934849649745e-07,4.038682642860485e-07,4.038682642860485e-07,0.0008158987042130106,0.0,0.0008158987042130106,2.3816785194867256e-06,1.212245528812028e-07,2.2604539666055226e-06
800,880_open,Mesh,38900,38122,19581,19189,8.675865118187632e-07,4.699363435994611e-07,4.04108758587399e-07,4.04108758587399e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.5335574252657655e-06,1.2569148881626247e-07,1.407865936449503e-06
800,880_closed,Mesh,47094,46152,23549,23078,8.66716260000744e-07,4.6540915231906723e-07,4.0443639169196395e-07,4.0443639169196395e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.1700696689847733e-06,1.3008459767476864e-07,1.0399850713100047e-06
