Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
block_691_695,block_691,Mesh,3578.649357701407,2035.846636446016,9.550929385492935,-5.2825482916065924,14.833477677099527,0.0,36523.84445505395
block_691_695,691_open,Mesh,34.57852909850159,7.44700804761669,7.143885707155273,2.1391058506711635,5.0047798564841095,0.0,54.7284060409223
block_691_695,691_closed,Mesh,39.78483949546037,7.447008517065253,7.143885707155273,2.1391058506711635,5.0047798564841095,13.24903032118606,54.7284060409223
block_691_695,692_open,Mesh,196.71098236710174,43.364030296681655,9.550929385492935,1.8371135837247032,7.713815801768231,0.0,487.8671620064989
block_691_695,692_closed,Mesh,210.63910344960163,43.364030296681655,9.550929385492935,1.8371135837247032,7.713815801768231,100.96981124601929,487.8671620064989
block_691_695,695_open,Mesh,91.16825047098511,24.941368846929205,7.35348957082696,2.2335527868241503,5.11993678400281,0.0,179.03677017624236
block_691_695,695_closed,Mesh,111.12353692990406,24.941368846929205,7.35348957082696,2.2335527868241503,5.11993678400281,37.19765597139799,179.03677017624236
block_696_700,block_696,Mesh,4646.256209996567,2624.231753850612,10.090716401283316,-10.4076722303761,20.498388631659417,0.0,59385.07853740629
block_696_700,696_open,Mesh,97.55156352772076,20.239016121730725,10.090716401283316,2.1876176321232457,7.903098769160072,0.0,216.84523621592984
block_696_700,696_closed,Mesh,112.12344782459219,20.239016121730725,10.090716401283316,2.1876176321232457,7.903098769160072,44.88352097298714,216.84523621592984
block_696_700,697_open,Mesh,64.98279998259214,37.15412693828155,6.925836322560147,2.7144669275775413,4.211369394982606,0.0,223.5135416790801
block_696_700,697_closed,Mesh,100.57311980252258,37.15412693828155,6.925836322560147,2.7144669275775413,4.211369394982606,29.001613680878833,223.5135416790801
block_696_700,699_open,Mesh,86.33789481198176,23.750139872828527,8.329129267022346,2.174747503126062,6.154381763896283,0.0,230.9142528956417
block_696_700,699_closed,Mesh,99.00675673003823,23.750139872828527,8.329129267022346,2.174747503126062,6.154381763896283,34.89440953699145,230.9142528956417
block_696_700,700_open,Mesh,45.78429720768058,18.22332547934179,6.042127596404606,2.5323124324031387,3.509815164001467,0.0,91.950521160669
block_696_700,700_closed,Mesh,60.73147595936131,18.22332547934179,6.042127596404606,2.5323124324031387,3.509815164001467,23.480419193126178,91.950521160669
block_826_830,block_826,Mesh,4302.716187129874,1567.8623891144384,11.06901784649834,-9.509229059729163,20.578246906227506,0.0,33774.415482637785
block_826_830,826_open,Mesh,101.03096158697632,18.10474391032008,11.06901784649834,1.8829541974393238,9.186063649059017,0.0,258.42526579164576
block_826_830,826_closed,Mesh,110.27027669323184,18.10474391032008,11.06901784649834,1.8829541974393238,9.186063649059017,22.413870118641256,258.42526579164576
block_826_830,827_open,Mesh,128.78458954191603,39.074299532484254,7.20987937997557,1.9176309399890346,5.292248439986535,0.0,314.85326417788025
block_826_830,827_closed,Mesh,158.39777480255452,39.074299647365656,7.20987937997557,1.9176309399890346,5.292248439986535,44.58902629712267,314.85326417788025
block_826_830,828_open,Mesh,132.82797243625595,56.1617684541215,8.349645647311688,1.5156106859310792,6.834034961380608,0.0,533.7074946982199
block_826_830,828_closed,Mesh,179.9016708901279,56.1617684541215,8.349645647311688,1.5156106859310792,6.834034961380608,59.45987736933413,533.7074946982199
block_826_830,829_open,Mesh,132.96522617650163,46.08931380602854,8.551957628222596,1.7889112209989455,6.76304640722365,0.0,428.1700608689967
block_826_830,829_closed,Mesh,155.7047057794514,46.08931380602854,8.551957628222596,1.7889112209989455,6.76304640722365,54.7527009611492,428.1700608689967
block_826_830,830_open,Mesh,100.49837669902169,29.959702356771825,6.886588207915844,1.8214184239247144,5.065169783991131,0.0,197.56398518389045
block_826_830,830_closed,Mesh,119.02696313454987,29.959702356771825,6.886588207915844,1.8214184239247144,5.065169783991131,46.86476954277845,197.56398518389045
block_836_840,block_836,Mesh,3184.288908066231,1541.348488544701,9.276712282983818,-8.17259887220762,17.449311155191438,0.0,27474.45097274825
block_836_840,836_open,Mesh,71.85937902109326,18.420961762127845,8.13029732309522,2.499881918618491,5.63041540447673,0.0,143.21426821002336
block_836_840,836_closed,Mesh,85.99578594227086,18.420961762127845,8.13029732309522,2.499881918618491,5.63041540447673,37.50259818030946,143.21426821002336
block_836_840,837_open,Mesh,97.49855968906641,24.84813158259183,8.330897960746114,2.407635253755519,5.923262706990595,0.0,211.4385104378378
block_836_840,837_closed,Mesh,109.81012522260757,24.84813163444386,8.330897960746114,2.407635253755519,5.923262706990595,49.61032082865039,211.4385104378378
block_836_840,838_open,Mesh,128.81314832011014,38.48409419929068,7.849714468285485,2.391527272528726,5.458187195756759,0.0,306.25448011596785
block_836_840,838_closed,Mesh,146.40753038728963,38.48409419929068,7.849714468285485,2.391527272528726,5.458187195756759,62.37203209330416,306.25448011596785
block_836_840,840_open,Mesh,93.92483405895554,26.353987141234047,9.047233067390327,2.418277276999903,6.628955790390423,0.0,246.23387358527145
block_836_840,840_closed,Mesh,114.75999123599004,26.353987141234047,9.047233067390327,2.418277276999903,6.628955790390423,57.71920216764336,246.23387358527145
block_841_845,block_841,Mesh,2691.3518195357465,1547.7636904012782,8.18254644087194,-6.372287028744456,14.554833469616396,0.0,24774.310707348024
block_841_845,841_open,Mesh,39.74616627670725,17.08065594049771,5.637359234847661,1.4876072919128513,4.1497519429348095,0.0,99.31868692922828
block_841_845,841_closed,Mesh,58.56764796084154,17.08065594049771,5.637359234847661,1.4876072919128513,4.1497519429348095,19.86024035045521,99.31868692922828
block_841_845,842_open,Mesh,112.97150563613498,34.24327941474912,7.892039371177889,1.500752928164495,6.391286443013394,0.0,294.26386405035686
block_841_845,842_closed,Mesh,130.135614782261,34.24327941474912,7.892039371177889,1.500752928164495,6.391286443013394,61.83830187629867,294.26386405035686
block_841_845,843_open,Mesh,96.6690892298753,25.28874217247383,8.18254644087194,1.7240667640775142,6.458479676794426,0.0,208.91098338496695
block_841_845,843_closed,Mesh,107.64429638475634,25.28874217247383,8.18254644087194,1.7240667640775142,6.458479676794426,56.4695407656287,208.91098338496695
block_841_845,845_open,Mesh,105.92859671596675,35.13756149447581,7.48975023527631,1.544197005433262,5.945553229843048,0.0,323.58853738368595
block_841_845,845_closed,Mesh,131.49365213917014,35.13756192061962,7.48975023527631,1.544197005433262,5.945553229843048,71.86570501124768,323.58853738368595
