Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
ID_235,235_scene,Mesh,1130.14742409426,411.682233984483,4.72408219419059,-18.9389483608617,23.6630305550523,0,12546.731719927
ID_235,235_open,Mesh,28.9731880508142,6.12340954489769,4.72408219419059,0.199311535982938,4.52477065820765,0,36.0128655783095
ID_235,235_closed,Mesh,31.5344005824709,6.12340954489769,4.72408219419059,0.199311535982938,4.52477065820765,8.3225189508113,36.0128655783095
ID_685,685_scene,Mesh,634.72143916537,284.054133818649,3.82330944659421,-8.83498203700018,12.6582914835944,0,6083.8827268121
ID_685,685_open,Mesh,42.8362290266641,11.85002676731,3.82330944659421,0.278417724549504,3.54489172204471,0,62.2365691743439
ID_685,685_closed,Mesh,47.1158241705253,11.85002676731,3.82330944659421,0.278417724549504,3.54489172204471,15.3001519736245,62.2365691743439
ID_686,686_scene,Mesh,973.03195375938,657.227133319179,6.9734052412909,-9.135111114531,16.1085163558219,0,14694.1594266714
ID_686,686_open,Mesh,54.6056305999576,14.2621077423114,6.9734052412909,2.0917405437018,4.8816646975891,0,93.9872243986544
ID_686,686_closed,Mesh,61.0512904793524,14.2621077423114,6.9734052412909,2.0917405437018,4.8816646975891,23.4209914977372,93.9872243986544
ID_687,687_scene,Mesh,2277.97828463069,742.927505081208,6.69904195436324,-27.6634872999893,34.3625292543525,0,31265.2480782932
ID_687,687_open,Mesh,50.6142848555681,20.2494367435365,6.02229335716648,1.867402154826,4.15489120234048,0,111.067348688811
ID_687,687_closed,Mesh,69.159727792874,20.2494369769955,6.02229335716648,1.867402154826,4.15489120234048,33.9597073961552,111.067348688811
ID_688,688_scene,Mesh,2018.35843611489,954.077817029457,6.61411473422741,-19.6065655578653,26.2206802920928,0,34903.2262141349
ID_688,688_open,Mesh,68.2388023205224,22.9572468912453,6.61411473422741,1.60736106829156,5.00675366593585,0,184.260783646855
ID_688,688_closed,Mesh,87.6261416296474,22.9572468912453,6.61411473422741,1.60736106829156,5.00675366593585,40.6448463756288,184.260783646855
ID_689,689_scene,Mesh,3089.93563467033,1606.20334562111,16.3405749800769,-12.7104808148021,29.051055794879,0,53433.1052087686
ID_689,689_open,Mesh,99.5187239799665,27.0037915339063,7.95681287577167,1.01676498156337,6.94004789420831,0,235.070310848019
ID_689,689_closed,Mesh,115.261253748557,27.0037915339063,7.95681287577167,1.01676498156337,6.94004789420831,78.9820887313395,235.070310848019
ID_690,690_scene,Mesh,4308.91859446009,1552.3611609717,5.12391982943388,-38.6393571866292,43.763277016063,0,89326.4073051238
ID_690,690_open,Mesh,71.5919504660594,33.7429615696601,4.46903331556606,-0.0374217368233731,4.50645505238943,0,195.980538906974
ID_690,690_closed,Mesh,94.6948341179559,33.7429615696601,4.46903331556606,-0.0374217368233731,4.50645505238943,50.7243009859849,195.980538906974
ID_776,776_scene,Mesh,777.452495638373,418.304324136539,6.86429152808368,-7.24497543307773,14.1092669611614,0,10154.321744161
ID_776,776_open,Mesh,72.9421036209778,16.5356230149088,6.86429152808368,1.74351218725589,5.1207793408278,0,129.78202103483
ID_776,776_closed,Mesh,78.698224070735,16.5356230149088,6.86429152808368,1.74351218725589,5.1207793408278,35.8165343291308,129.78202103483
ID_777,777_scene,Mesh,2055.88472510409,1070.59919226192,7.92679313662543,-14.2824201956325,22.2092133322579,0,41934.7728848651
ID_777,777_open,Mesh,86.4059974162919,15.3388782192389,7.77325932935314,0.803956347896184,6.96930298145695,0,157.006322585866
ID_777,777_closed,Mesh,98.234456658811,15.3388782192389,7.77325932935314,0.803956347896184,6.96930298145695,44.5750513478277,157.006322585866
ID_778,778_scene,Mesh,6789.48830754843,2929.58988580117,11.009364909318,-21.4977200788607,32.5070849881787,0,175192.276745923
ID_778,778_open,Mesh,68.5253144511367,12.6727440432203,6.1453965973197,-0.0410451362871711,6.18644173360687,0,111.992504344677
ID_778,778_closed,Mesh,75.5963585801934,12.6727440432203,6.1453965973197,-0.0410451362871711,6.18644173360687,29.6688805294082,111.992504344677
ID_779,779_scene,Mesh,2456.05995412816,1279.01191879951,5.74121472041443,-16.2115968628545,21.9528115832689,0,47869.7199667793
ID_779,779_open,Mesh,62.3646270851371,16.9102727266179,5.30892666794851,0.391529807275251,4.91739686067326,0,114.993669131216
ID_779,779_closed,Mesh,75.7520266297334,16.9102727266179,5.30892666794851,0.391529807275251,4.91739686067326,26.9888428416707,114.993669131216
ID_780,780_scene,Mesh,804.210206382416,420.947856632129,9.08049003760227,-5.84117162839564,14.9216616659979,0,10640.980219368
ID_780,780_open,Mesh,174.851339050243,45.4704619719885,9.08049003760227,-0.0160611007583689,9.09655113836064,0,683.03159688503
ID_780,780_closed,Mesh,183.342620828688,45.4704619719885,9.08049003760227,-0.0160611007583689,9.09655113836064,102.75404944707,683.03159688503
ID_781,781_scene,Mesh,893.026257466134,626.7203310954,6.78870273924014,-0.862310580708675,7.65101331994882,0,5804.66427608522
ID_781,781_open,Mesh,38.5849596349242,9.21836055356471,5.99440429776715,1.48129420939688,4.51311008837027,0,61.5928909228309
ID_781,781_closed,Mesh,44.7820539923201,9.21836055356471,5.99440429776715,1.48129420939688,4.51311008837027,16.1052967773138,61.5928909228309
ID_782,782_scene,Mesh,1042.9197426403,562.968461871491,6.70673956538991,-6.38802033896184,13.0947599043518,0,13692.7008960871
ID_782,782_open,Mesh,28.4045087203353,4.24500116172016,6.70673956538991,0.827635557770529,5.87910400761938,0,31.9841328924365
ID_782,782_closed,Mesh,32.7754443032489,4.24500116172016,6.70673956538991,0.827635557770529,5.87910400761938,9.62512780588967,31.9841328924365
ID_783,783_scene,Mesh,905.443172767831,559.993700927258,11.1993243249436,-6.58390830608168,17.7832326310253,0,15074.2063415873
ID_783,783_open,Mesh,44.7075049807605,8.58087379883221,8.06952864738772,1.85873407608915,6.21079457129857,0,78.8410341320286
ID_783,783_closed,Mesh,52.1772974669366,8.58087379883221,8.06952864738772,1.85873407608915,6.21079457129857,18.1814477282489,78.8410341320286
ID_784,784_scene,Mesh,3805.07233416691,1646.38158573186,10.2808319618168,-23.9464220382232,34.22725400004,0,94440.6351610539
ID_784,784_open,Mesh,95.9657872543515,16.3053108638503,10.2808319618168,2.1264813642993,8.1543505975175,0,210.958366361294
ID_784,784_closed,Mesh,105.835334601887,16.3053108638503,10.2808319618168,2.1264813642993,8.1543505975175,49.8805243084305,210.958366361294
ID_785,785_scene,Mesh,484.392186628727,255.111631354885,8.0428228307208,-6.21381446726619,14.256637297987,0,5501.12625357257
ID_785,785_open,Mesh,68.2585855205367,13.4103630225118,8.0428228307208,0.879500785223941,7.16332204549686,0,134.88835027321
ID_785,785_closed,Mesh,81.582022630937,13.4103630387123,8.0428228307208,0.879500785223941,7.16332204549686,30.7313653389673,134.88835027321
ID_786,786_scene,Mesh,5111.70830210236,2088.62450633127,14.349524519909,-13.1885378043049,27.5380623242139,0,108141.537145783
ID_786,786_open,Mesh,60.011368674131,9.65244949749316,13.3838809611255,5.97900803584938,7.40487292527612,0,90.1380106448102
ID_786,786_closed,Mesh,66.1578085308196,9.65244949749316,13.3838809611255,5.97900803584938,7.40487292527612,27.6707736767399,90.1380106448102
ID_787,787_scene,Mesh,3589.31000923284,1419.16034653664,6.45362818637136,-27.8618591637212,34.3154873500925,0,80042.6753686917
ID_787,787_open,Mesh,47.3838277989278,7.80492639786757,6.45362818637136,0.60750663448586,5.8461215518855,0,61.3455508253822
ID_787,787_closed,Mesh,51.9281838130913,7.80492639786757,6.45362818637136,0.60750663448586,5.8461215518855,20.3282411633901,61.3455508253822
ID_788,788_scene,Mesh,597.012310596439,396.179396380819,7.02797996758076,-7.40603785064781,14.4340178182286,0,8248.12523057829
ID_788,788_open,Mesh,86.9323622477748,20.2956088429227,7.02797996758076,0.145697625726451,6.88228234185431,0,200.621525384328
ID_788,788_closed,Mesh,91.6652714867018,20.2956088429227,7.02797996758076,0.145697625726451,6.88228234185431,38.5544030226685,200.621525384328
ID_789,789_scene,Mesh,599.530541033583,289.086968041205,7.4761309847155,-7.88781804772951,15.363949032445,0,7760.7665736611
ID_789,789_open,Mesh,44.1969639169247,12.9956294560734,5.11931131828127,0.332577128070805,4.78673419021047,0,80.5293345935232
ID_789,789_closed,Mesh,50.9142918759884,12.9956294560734,5.11931131828127,0.332577128070805,4.78673419021047,18.6121327757689,80.5293345935232
ID_790,790_scene,Mesh,740.859141316243,287.392218283857,4.3487803206102,-10.9131392899204,15.2619196105306,0,5663.23538159603
ID_790,790_open,Mesh,37.2754490507901,15.2721341931173,3.55568080052828,0.0912812206183,3.46439957990998,0,62.2064317823325
ID_790,790_closed,Mesh,51.6205957401998,15.2721341931173,3.55568080052828,0.0912812206183,3.46439957990998,19.6482489289275,62.2064317823325
ID_791_poor_qual,791_scene,Mesh,3086.2714521431,1246.69142745695,7.29373091870843,-22.461951381077,29.7556822997854,0,53722.9188347078
ID_791_poor_qual,791_open,Mesh,33.1004040667187,8.21544883131895,7.29373091870843,2.85406381947749,4.43966709923094,0,54.551429855066
ID_791_poor_qual,791_closed,Mesh,38.5325412857438,8.21544883131895,7.29373091870843,2.85406381947749,4.43966709923094,11.2451539784459,54.551429855066
ID_792,792_scene,Mesh,1069.84691126068,487.960636130844,5.42195334304125,-9.20368364784079,14.625636990882,0,12022.9297784506
ID_792,792_open,Mesh,72.8053898394527,22.6289306757515,5.42195334304125,0.801832773283384,4.62012056975786,0,138.497890379082
ID_792,792_closed,Mesh,81.1334455544344,22.6289306757515,5.42195334304125,0.801832773283384,4.62012056975786,33.8462716423156,138.497890379082
ID_793,793_scene,Mesh,654.795166436327,376.576533598679,5.72295218217117,-5.17800495305678,10.9009571352279,0,6733.0877782853
ID_793,793_open,Mesh,73.783570218713,14.8623754660892,5.72295218217117,-1.51579648565876,7.23874866782993,0,146.622761837653
ID_793,793_closed,Mesh,87.3303001483666,14.8623754660892,5.72295218217117,-1.51579648565876,7.23874866782993,30.9088990015692,146.622761837653
ID_794,794_scene,Mesh,1780.08230997959,987.552909148913,5.53694938311135,-14.6302462569073,20.1671956400187,0,22043.9748235481
ID_794,794_open,Mesh,54.4074898614788,10.5856632036546,5.53694938311135,0.226104109774239,5.31084527333711,0,96.0182121818393
ID_794,794_closed,Mesh,59.0425200556364,10.5856632036546,5.53694938311135,0.226104109774239,5.31084527333711,22.0684600426923,96.0182121818393
ID_795,795_scene,Mesh,1548.69265212081,665.146744891594,11.5574113318125,-13.4860948755205,25.043506207333,0,19534.9323598616
ID_795,795_open,Mesh,48.6121244852219,10.3959510747182,5.50935270245311,0.460133339953728,5.04921936249938,0,79.5265056671903
ID_795,795_closed,Mesh,56.7165898126483,10.3959510747182,5.50935270245311,0.460133339953728,5.04921936249938,23.4972614146878,79.5265056671903
ID_796,796_scene,Mesh,2046.79546139111,735.604534234583,7.52282128667918,-25.9374383473218,33.460259634001,0,41966.9197996447
ID_796,796_open,Mesh,70.6103559060745,17.0691784728303,7.52282128667918,1.18964713559852,6.33317415108066,0,153.375470807169
ID_796,796_closed,Mesh,76.3170782312052,17.0691784728303,7.52282128667918,1.18964713559852,6.33317415108066,35.5623823437673,153.375470807169
ID_798,798_scene,Mesh,2135.8591687162,1257.42357230116,8.43184268683263,-11.0676160689366,19.4994587557693,0,42437.8862581617
ID_798,798_open,Mesh,101.068915821939,21.4100100251735,7.60793529282127,1.12034270783852,6.48759258498275,0,223.545150980361
ID_798,798_closed,Mesh,108.243122292971,21.4100100251735,7.60793529282127,1.12034270783852,6.48759258498275,45.1146912982409,223.545150980361
ID_799,799_scene,Mesh,2356.18771241219,1143.77646334704,9.14750494432158,-11.7022880821707,20.8497930264923,0,41990.0688697342
ID_799,799_open,Mesh,55.2574387068767,12.1742906229748,5.74355677706767,1.0292114935102,4.71434528355748,0,84.2509707913027
ID_799,799_closed,Mesh,61.9938903064299,12.1742906229748,5.74355677706767,1.0292114935102,4.71434528355748,26.9065197032139,84.2509707913027
ID_800,800_scene,Mesh,2515.76578815314,1669.79401893595,10.3157795513197,-6.05999783723983,16.3757773885596,0,37573.1705680885
ID_800,800_open,Mesh,141.740980725742,29.7263861399391,10.3157795513197,0.120165140834505,10.1956144104852,0,532.538878742304
ID_800,800_closed,Mesh,158.13474267919,29.7263861399391,10.3157795513197,0.120165140834505,10.1956144104852,85.4453590361844,532.538878742304
