Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
691_695,block691_scene,Mesh,4041.725845672170,2575.360747632620,7.251950689275620,-2.4777985445013400,9.729749233776960,0.0,32372.925057369300
691_695,695_open,Mesh,75.36881984318520,37.283328019439300,6.801580784622410,3.0405881147004200,3.7609926699220000,0.0,183.4662502417430
691_695,695_closed,Mesh,110.8222464226720,37.283328019439300,6.801580784622410,3.0405881147004200,3.7609926699220000,23.92075981540860,183.4662502417430
696_700,block696_scene,Mesh,5609.420667676410,3352.9612419011900,14.562175918499900,-4.550363177038350,19.112539095538200,0.0,104038.91126502800
696_700,696_open,Mesh,379.381092980163,97.00463689133110,12.55992770591490,1.7044864807046000,10.855441225210300,0.0,1617.0446503841400
696_700,696_closed,Mesh,437.2842053066080,97.00463689133110,12.55992770591490,1.7044864807046000,10.855441225210300,308.6749623814940,1617.0446503841400
696_700,697_open,Mesh,382.23286298973800,97.26299317756860,12.55992770591490,2.3480063108266100,10.21192139508830,0.0,1529.0422064248600
696_700,697_closed,Mesh,446.343836317287,97.26299317756860,12.55992770591490,2.3480063108266100,10.21192139508830,312.0550086435880,1529.0422064248600
696_700,699_open,Mesh,272.24721295664500,141.02078105752400,11.694777085509400,3.183748690276630,8.511028395232780,0.0,1790.7702180882900
696_700,699_closed,Mesh,421.02875616580800,141.02078105752400,11.694777085509400,3.183748690276630,8.511028395232780,123.98657046701600,1790.7702180882900
826_830,block826_scene,Mesh,8517.573330684100,3206.8966270802500,35.47516647632620,-8.428490998177920,43.9036574745041,0.0,260981.2330151080
826_830,826_open,Mesh,304.5987861942520,76.48694975333890,15.034808977358800,0.9140483596665140,14.12076061769230,0.0,1697.667931033740
826_830,826_closed,Mesh,366.99964716594100,76.48694975333890,15.034808977358800,0.9140483596665140,14.12076061769230,203.92735592645500,1697.667931033740
826_830,827_open,Mesh,322.9487572282610,127.11143709055600,7.612519801908810,1.6906738560635100,5.921845945845300,0.0,1007.9758066316400
826_830,827_closed,Mesh,424.8944703920560,127.11143709055600,7.612519801908810,1.6906738560635100,5.921845945845300,197.05857783878300,1007.9758066316400
826_830,828_open,Mesh,459.80590510232700,181.73933618824300,8.01973783224334,-1.0236753712223200,9.043413203465660,0.0,2485.6860873717900
826_830,828_closed,Mesh,606.1790435888820,181.73933618824300,8.01973783224334,-1.0236753712223200,9.043413203465660,280.80042606822300,2485.6860873717900
826_830,829_open,Mesh,430.0027997340510,126.3131824132270,11.220007496498000,-0.647945963707236,11.867953460205300,0.0,2223.712917089420
826_830,829_closed,Mesh,513.7806511269850,126.3131824132270,11.220007496498000,-0.647945963707236,11.867953460205300,262.19608050844300,2223.712917089420
826_830,830_open,Mesh,70.84475727935940,38.09575963828970,6.071299734261700,1.764940871886010,4.306358862375700,0.0,254.92770977105900
826_830,830_closed,Mesh,114.62489419405100,38.0957603166818,6.071299734261700,1.764940871886010,4.306358862375700,52.322291244922500,254.92770977105900
831_835,block831_scene,Mesh,5701.019970632750,3737.0390678506000,10.15442987803510,-2.8744788336599400,13.028908711695000,0.0,83794.9245791046
831_835,831_open,Mesh,222.24920343815,58.85773397000250,10.15442987803510,0.48817509042309300,9.666254787612020,0.0,878.959530191285
831_835,831_closed,Mesh,261.384142998446,58.85773397000250,10.15442987803510,0.48817509042309300,9.666254787612020,111.83674220787400,878.959530191285
831_835,834_open,Mesh,100.41760674305500,56.31784323478600,6.221520827715980,1.0235123290543200,5.198008498661670,0.0,394.2924300436790
831_835,834_closed,Mesh,160.08109691077100,56.31784323478600,6.221520827715980,1.0235123290543200,5.198008498661670,59.70877521258060,394.2924300436790
836_840,block836_scene,Mesh,6821.661547897100,3314.824566042650,13.077685693887900,-6.84413035293599,19.921816046823900,0.0,122904.9188518550
836_840,837_open,Mesh,309.3105174190330,92.10862785816490,11.132951367337000,2.543072482640900,8.589878884696080,0.0,1093.9221492466700
836_840,837_closed,Mesh,375.51995996312700,92.10862785816490,11.132951367337000,2.543072482640900,8.589878884696080,313.09996085464800,1093.9221492466700
836_840,838_open,Mesh,645.1477833734620,149.15204729676300,11.960392980215400,2.1837603078308800,9.776632672384540,0.0,2037.1547797951000
836_840,838_closed,Mesh,727.6765462762610,149.15204729676300,11.960392980215400,2.1837603078308800,9.776632672384540,516.5445093224250,2037.1547797951000
836_840,840_open,Mesh,420.91378674797000,92.55844254342530,13.077685693887900,2.7540772453293900,10.32360844855850,0.0,1432.5680327921700
836_840,840_closed,Mesh,489.82604021658600,92.55844254342530,13.077685693887900,2.7540772453293900,10.32360844855850,331.6096244126270,1432.5680327921700
841_845,block841_scene,Mesh,6270.776536335970,2866.6281953218100,18.247099159222000,-4.841588140385480,23.088687299607500,0.0,75736.58264878090
841_845,841_open,Mesh,26.572452353229900,20.925502657134700,3.9639686854453300,1.82110427144892,2.142864413996420,0.0,57.464328941202700
841_845,841_closed,Mesh,50.03486428033180,20.925502657134700,3.9639686854453300,1.82110427144892,2.142864413996420,7.497147650685830,57.464328941202700
841_845,842_open,Mesh,286.55319729896800,97.12391472094240,12.362267576225800,1.543334936482570,10.818932639743300,0.0,1390.418223483020
841_845,842_closed,Mesh,356.2547794316210,97.12391472094240,12.362267576225800,1.543334936482570,10.818932639743300,200.5068115436930,1390.418223483020
841_845,843_open,Mesh,422.53751424805900,109.52368429025100,12.90574355681280,2.0807266678158600,10.825016888996900,0.0,1566.7032455574400
841_845,843_closed,Mesh,491.80844145474200,109.52368429025100,12.90574355681280,2.0807266678158600,10.825016888996900,461.71077964964800,1566.7032455574400
841_845,845_open,Mesh,68.75396504551850,29.88469004343360,6.458314708762730,2.358493081695810,4.099821627066920,0.0,192.47916532876300
841_845,845_closed,Mesh,97.90835510901300,29.88469004343360,6.458314708762730,2.358493081695810,4.099821627066920,44.04478866360240,192.47916532876300
